ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
913,SMRT,1,FEEDER,46009,46009,03-07,02-07,02-07,03-10,Woodlands Circle
913,SMRT,2,FEEDER,,,03-07,02-07,02-07,03-10,Woodlands Circle
913M,SMRT,1,FEEDER,46008,46009,15-20,15-20,15-20,20,Woodlands St 13
920,SMRT,1,FEEDER,45009,45009,06,05-09,05-07,06-11,Bangkit Rd
922,SMRT,1,FEEDER,45009,45009,06-08,06-10,06-07,07-11,Bangkit Rd
925,SMRT,1,TRUNK,46009,44009,07-10,07-14,11-13,11,
925,SMRT,2,TRUNK,44009,46009,09-11,09-14,09,09-10,
925M,SMRT,1,TRUNK,46009,46009,10-11,10-12,10-13,13,Neo Tiew Cres
926,SMRT,1,TRUNK,46009,46009,-,-,-,10-15,Mandai Lake Rd
927,SMRT,1,TRUNK,44009,44009,13,12-17,13-14,13-18,Mandai Lake Rd
944,SMRT,1,FEEDER,43009,43009,12,13-16,12,15-16,Bt Batok Rd
950,SMRT,1,TRUNK,46009,46009,11-12,09-13,11-13,11-12,Jln Jim Quee
951E,SMRT,1,EXPRESS,46449,03218,06-08,-,-,-,
951E,SMRT,2,EXPRESS,03222,46441,-,-,15,-,
960,SMRT,1,TRUNK,46009,02099,08-09,08-12,10-12,10-11,
960,SMRT,2,TRUNK,02099,46009,10-11,08-11,08-09,09-11,
960e,SMRT,1,EXPRESS,46009,02099,20-30,30,30,30,
960e,SMRT,2,EXPRESS,02099,46009,30,30,20-30,20-30,
961,SMRT,1,TRUNK,46009,80009,07-11,07-15,11-15,12-15,
961,SMRT,2,TRUNK,80009,46009,11-13,08-13,08-12,11-16,
961M,SMRT,1,TRUNK,46009,80009,12-14,10-12,11-14,14-15,
961M,SMRT,2,TRUNK,80009,46009,14,08-13,13-14,14-16,
962,SMRT,1,TRUNK,46009,46009,07-08,05-10,07-08,09-10,Admiralty St
962B,SMRT,1,TRUNK,58259,58251,29-31,-,26-34,-,
962C,SMRT,1,TRUNK,47571,47591,08-09,-,-,-,
963,SMRT,1,TRUNK,46009,14009,06-13,05-14,07-13,12-15,
963,SMRT,2,TRUNK,14009,46009,08-15,06-13,06-08,08-13,
963e,SMRT,1,EXPRESS,46009,14009,20,-,-,-,
963e,SMRT,2,EXPRESS,14009,46009,-,-,30,-,
963R,SMRT,1,EXPRESS,46009,14519,32-35,30-33,32-33,32-35,
963R,SMRT,2,EXPRESS,14519,46009,-,27-33,30-31,30-33,
964,SMRT,1,TRUNK,46009,46009,04-05,04-08,04-06,05-11,Nth Woodlands Link
965,SMRT,1,TRUNK,46009,46009,04-12,08-14,09-10,10-17,Sengkang Sq
965A,SMRT,1,TRUNK,46009,59073,08-10,-,-,-,
966,SMRT,1,TRUNK,46009,46009,06-10,07-14,07-16,15-17,Marine Parade Rd
969,SMRT,1,TRUNK,46009,75009,04-08,05-10,05-09,09-12,
969,SMRT,2,TRUNK,75009,46009,03-07,05-10,05-07,03-10,
969A,SMRT,1,TRUNK,75009,59079,-,-,08-13,,
970,SMRT,1,TRUNK,45009,03218,11-16,10-16,10-16,16-17,
970,SMRT,2,TRUNK,03239,45009,13-14,10-15,10-11,11-16,
971E,SMRT,1,EXPRESS,48009,03021,06-07,-,-,-,
971E,SMRT,2,EXPRESS,03223,48009,-,-,10-15,-,
972,SMRT,1,TRUNK,45009,45009,04-05,04-10,05-08,08-10,Bencoolen St
972A,SMRT,1,TRUNK,45009,08057,-,-,-,15,
973,SMRT,1,TRUNK,45009,45009,10-13,12,10-12,10-15,Hume Ave
973A,SMRT,1,TRUNK,45009,44229,-,-,-,20,
975,SMRT,1,TRUNK,45009,45009,07,07-11,06-09,09-12,Lim Chu Kang Rd
975A,SMRT,1,TRUNK,44531,30089,16-32,-,-,-,
975B,SMRT,1,TRUNK,44531,33041,12-44,-,08-28,09-80,
976,SMRT,1,TRUNK,44009,45009,15,15,15,15,
976,SMRT,2,TRUNK,45009,44009,15,15,15,15,
979,SMRT,1,TRUNK,45009,45009,04-06,05-08,05-06,06-09,Choa Chu Kang Cres
980,SMRT,1,TRUNK,58009,80009,11-15,13-16,13-16,15-16,
980,SMRT,2,TRUNK,80009,58009,11-15,12-16,13-16,14-15,
981,SMRT,1,TRUNK,58009,47199,08-09,08-09,-,-,
981,SMRT,2,TRUNK,47121,58009,-,-,08-10,08-09,
982E,SMRT,1,EXPRESS,44589,03391,15,-,-,-,
982E,SMRT,2,EXPRESS,03539,44581,-,-,15,-,
983,SMRT,1,TRUNK,44009,44009,05-06,06-08,05-07,06-09,Jelebu Rd
983A,SMRT,1,TRUNK,44009,44131,-,-,-,15-20,
985,SMRT,1,TRUNK,44009,80009,08-10,09-11,11,11-12,
985,SMRT,2,TRUNK,80009,44009,09-10,09-13,10,11-12,
991,SMRT,1,TRUNK,43009,44009,08-11,10-12,07-09,08-15,
991,SMRT,2,TRUNK,44009,43009,08-10,09-11,08-10,08-15,
991A,SMRT,1,TRUNK,43009,43341,-,-,-,15,
991B,SMRT,1,TRUNK,44009,44099,-,-,-,18-19,
NR1,SMRT,1,NIGHT RIDER,14519,59561,-,-,-,25-25,Yishun Ring Rd
NR2,SMRT,1,NIGHT RIDER,02099,58291,-,-,-,30,
NR3,SMRT,1,NIGHT RIDER,05029,44009,-,-,-,30,
NR5,SMRT,1,NIGHT RIDER,02099,22449,-,-,-,30,
NR6,SMRT,1,NIGHT RIDER,14519,67171,-,-,-,29-29,Anchorvale Dr
NR8,SMRT,1,NIGHT RIDER,02099,43609,-,-,-,29-29,Bt Batok West Ave 5
106,TTS,1,TRUNK,43009,03218,06-09,06-12,10-10,10-13,
106,TTS,2,TRUNK,03239,43009,08-10,07-12,07-12,11-12,
106A,TTS,1,TRUNK,43009,17179,13-45,-,-,-,
143,TTS,1,TRUNK,52009,28009,08-09,08-13,10-14,13-14,
143,TTS,2,TRUNK,28009,52009,08-10,08-13,12-13,12-13,
143M,TTS,1,TRUNK,28009,28009,13-15,14-16,14-16,14-16,Pandan Gdns
173,TTS,1,TRUNK,43009,43009,08-12,09-14,09-10,15-15,Clementi Ave 3
173A,TTS,1,TRUNK,43009,43169,-,-,-,15-15,Bt Batok East Ave 4
177,TTS,1,TRUNK,43009,43009,13-15,12-15,12-12,-,Jelebu Rd
183,TTS,1,TRUNK,28009,28009,05-08,05-15,06-09,16-19,Science Pk Rd
183B,TTS,1,TRUNK,28009,28189,03-08,03-13,-,-,
189,TTS,1,TRUNK,43009,43009,06-08,05-11,07-11,10-12,Clementi Ave 1
189A,TTS,1,TRUNK,43009,43319,06-15,07-13,-,15-20,Bt Batok St 23
282,TTS,1,FEEDER,17009,17009,08-10,10-12,07-10,08-12,Clementi West St 2
284,TTS,1,FEEDER,17009,17009,05-06,06-08,04-06,04-07,Clementi Ave 4
285,TTS,1,FEEDER,17009,17009,05-06,05-12,05-06,06-14,Pandan Loop
333,TTS,1,FEEDER,28009,28009,07-09,08-12,08-08,08-12,Jurong East St 32
334,TTS,1,FEEDER,28009,28009,05-06,06-10,05-06,05-12,Jurong West St 42
335,TTS,1,FEEDER,28009,28009,07-08,07-13,07-08,07-14,Jurong West St 41
41,TTS,1,TRUNK,28009,28009,10-12,13-15,11-15,12-15,Jln Anak Bt
49,TTS,1,TRUNK,28009,28009,09-10,10-14,09-14,10-12,Jurong West St 42
651,TTS,1,EXPRESS,27461,03391,15-15,-,-,-,
651,TTS,2,EXPRESS,03539,27469,-,-,15-15,-,
66,TTS,1,TRUNK,84009,28009,09-11,10-17,12-16,15-16,
66,TTS,2,TRUNK,28009,84009,09-12,10-16,12-16,10-16,
663,TTS,1,EXPRESS,59591,03218,15-15,-,-,-,
663,TTS,2,EXPRESS,03241,59599,-,-,15-15,-,
665,TTS,1,EXPRESS,46141,03218,08-08,-,-,-,
665,TTS,2,EXPRESS,03241,46149,-,-,15-15,-,
66A,TTS,1,TRUNK,84009,40011,-,-,19-19,-,
66B,TTS,1,TRUNK,60139,28009,-,-,-,29-45,
66B,TTS,2,TRUNK,28009,07031,-,-,25-38,-,
77,TTS,1,TRUNK,43009,02089,10-11,11-12,11-14,10-15,
77,TTS,2,TRUNK,02099,43009,11-14,10-12,12-13,13-15,
78,TTS,1,TRUNK,28009,28009,06-08,06-15,07-08,11-15,Clementi Ave 3
78A,TTS,1,TRUNK,28009,29121,03-08,-,-,-,Tg Penjuru
79,TTS,1,TRUNK,28009,28009,06-10,08-18,08-12,15-17,Jurong West Ctrl 3
79A,TTS,1,TRUNK,28009,22009,-,-,-,15-15,
941,TTS,1,FEEDER,43009,43009,06-07,07-10,06-07,06-12,Bukit Batok West Avenue 9
945,TTS,1,FEEDER,43009,43009,06-09,07-10,06-07,06-15,Bt Batok St 34
947,TTS,1,FEEDER,43009,43009,05-09,08-09,06-08,06-09,Bt Batok Rd
96,TTS,1,TRUNK,17009,17009,06-07,05-13,05-07,05-10,Kent Ridge Cres
96A,TTS,1,TRUNK,17009,16169,08-10,03-09,-,-,
96B,TTS,1,TRUNK,17009,17171,-,06-19,05-19,-,
97,TTS,1,TRUNK,28009,02099,09-10,06-13,06-13,13-14,
97,TTS,2,TRUNK,02099,28009,10-11,07-14,09-10,13-13,
974,TTS,1,TRUNK,44029,24009,15-15,15-15,15-15,15-15,
974,TTS,2,TRUNK,24009,44031,15-15,15-15,15-15,15-15,
974A,TTS,1,TRUNK,44029,44539,-,-,-,08-15,
97e,TTS,1,EXPRESS,28009,02099,12-12,-,-,-,
97e,TTS,2,EXPRESS,02099,28009,-,-,12-12,-,
98,TTS,1,TRUNK,28009,28009,05-08,06-16,08-10,10-20,Jurong Pier Way
98A,TTS,1,TRUNK,28091,21179,-,-,06-10,10-20,
98B,TTS,1,TRUNK,28501,21099,05-09,-,-,-,
98M,TTS,1,TRUNK,28009,28009,-,14-18,-,14-18,Corporation Rd
990,TTS,1,TRUNK,43009,43009,12-12,12-12,12-12,12-13,Jurong Gateway Rd
